Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
201501,Mesa Airlines,YV,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 1,B,"4,204"
201501,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,"11,711"
201501,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,"11,202"
201501,Republic Airlines,RW,Republic Airlines,RW,Domestic,US,Enplaned,Other,Terminal 1,B,51
201501,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Deplaned,Other,International,G,"4,891"
201501,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Other,International,G,"4,251"
201501,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Other,International,G,"14,596"
201501,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Other,International,G,"12,480"
201501,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,"1,859"
201501,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,"1,807"
201501,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,"145,020"
201501,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,"141,096"
201501,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Deplaned,Other,International,G,"1,273"
201501,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,"10,085"
201501,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,"11,225"
201501,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Deplaned,Low Fare,Terminal 1,B,"124,934"
201501,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Enplaned,Low Fare,Terminal 1,B,"119,096"
201501,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,20
201501,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,International,A,"3,734"
201501,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,International,A,"3,578"
201501,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Deplaned,Low Fare,International,A,912
201501,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Enplaned,Low Fare,International,A,917
201501,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Other,International,G,"6,203"
201501,Swiss International,LX,Swiss International,LX,International,Europe,Enplaned,Other,International,G,"5,621"
201501,TACA,TA,TACA,TA,International,Central America,Deplaned,Other,International,A,"6,101"
201501,TACA,TA,TACA,TA,International,Central America,Enplaned,Other,International,A,"6,011"
201501,US Airways,US ,US Airways,US ,Domestic,US,Deplaned,Other,Terminal 1,B,"60,619"
201501,US Airways,US ,US Airways,US ,Domestic,US,Enplaned,Other,Terminal 1,B,"61,729"
201501,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,International,G,"28,156"
201501,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,International,G,"22,333"
201501,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,International,G,1
201501,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,E,"197,345"
201501,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,"211,641"
201501,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,178
201501,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,"303,783"
201501,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,"283,669"
201501,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,F,380
201501,United Airlines,UA,United Airlines,UA,International,Asia,Deplaned,Other,International,G,"75,110"
201501,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Other,International,G,"65,024"
201501,United Airlines,UA,United Airlines,UA,International,Asia,Thru / Transit,Other,International,G,263
201501,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Deplaned,Other,International,G,"6,940"
201501,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Other,International,G,"7,841"
201501,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Other,International,G,913
201501,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,International,G,517
201501,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,E,"4,858"
201501,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,E,"1,102"
201501,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,"4,972"
201501,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,"8,754"
201501,United Airlines,UA,United Airlines,UA,International,Europe,Deplaned,Other,International,G,"19,383"
201501,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Other,International,G,"17,923"
201501,United Airlines,UA,United Airlines,UA,International,Mexico,Deplaned,Other,International,G,"19,536"
201501,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Other,International,G,"12,352"
201501,United Airlines,UA,United Airlines,UA,International,Mexico,Thru / Transit,Other,International,G,16
201501,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Other,Terminal 3,E,325
201501,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Other,Terminal 3,F,"4,820"
201501,Virgin America,VX,Virgin America,VX,Domestic,US,Deplaned,Low Fare,Terminal 2,D,"146,357"
201501,Virgin America,VX,Virgin America,VX,Domestic,US,Enplaned,Low Fare,Terminal 2,D,"142,865"
201501,Virgin America,VX,Virgin America,VX,International,Mexico,Deplaned,Low Fare,International,A,"3,483"
201501,Virgin America,VX,Virgin America,VX,International,Mexico,Enplaned,Low Fare,Terminal 2,D,"2,846"
201501,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,"9,344"
201501,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,"8,008"
201502,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Deplaned,Other,International,G,"2,590"
201502,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Enplaned,Other,International,G,"2,585"
201502,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,International,A,"9,999"
201502,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,"9,982"
201502,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,A,"11,101"
201502,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,A,"10,320"
201502,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,G,"12,519"
201502,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,G,"11,638"
201502,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,"7,023"
201502,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,"6,612"
201502,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,"6,804"
201502,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,"6,426"
201502,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,"10,502"
201502,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,"11,436"
201502,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,International,A,"48,728"
201502,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,International,A,"47,111"
201502,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Other,International,A,"4,648"
201502,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,International,A,"4,899"
201502,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,"6,582"
201502,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,"5,827"
201502,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 2,D,"100,010"
201502,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 2,D,"97,746"
201502,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,"6,945"
201502,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,"7,000"
201502,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,"15,388"
201502,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,"14,372"
201502,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,"15,306"
201502,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,"14,103"
201502,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,"8,594"
201502,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,"10,094"
201502,China Eastern,MU,China Eastern,MU,International,Asia,Deplaned,Other,International,A,"5,444"
201502,China Eastern,MU,China Eastern,MU,International,Asia,Enplaned,Other,International,A,"4,558"
201502,China Southern,CZ,China Southern,CZ,International,Asia,Deplaned,Other,International,A,"2,311"
201502,China Southern,CZ,China Southern,CZ,International,Asia,Enplaned,Other,International,A,"2,311"
201502,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,"34,168"
201502,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,"34,269"
201502,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,"91,506"
201502,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,"87,053"
201502,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Thru / Transit,Other,Terminal 1,C,41
201502,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,"14,499"
201502,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,"15,409"
201502,Emirates ,EK,Emirates ,EK,International,Middle East,Deplaned,Other,International,A,"11,774"
201502,Emirates ,EK,Emirates ,EK,International,Middle East,Enplaned,Other,International,A,"10,649"
201502,Etihad Airways,EY,Etihad Airways,EY,International,Middle East,Deplaned,Other,International,A,"6,770"
201502,Etihad Airways,EY,Etihad Airways,EY,International,Middle East,Enplaned,Other,International,A,"4,609"
201502,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Low Fare,Terminal 1,B,"16,473"
201502,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Low Fare,Terminal 1,B,"16,475"
201502,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Other,International,A,"10,924"
201502,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Other,International,A,"11,207"
201502,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,"5,538"
201502,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Other,International,A,"5,397"
201502,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Deplaned,Low Fare,International,A,"47,858"
201502,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Enplaned,Low Fare,International,A,"46,569"
201502,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,"5,669"
201502,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,"5,012"
201502,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,"5,721"
201502,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,"6,018"
201502,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,"18,451"
201502,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Other,International,G,"17,218"
201502,Mesa Airlines,YV,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 1,B,"5,102"
201502,Mesa Airlines,YV,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 1,B,"4,667"
201502,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,"10,222"
201502,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,"9,064"
201502,Republic Airlines,RW,Republic Airlines,RW,Domestic,US,Deplaned,Other,Terminal 1,B,51
201502,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Deplaned,Other,International,G,"4,668"
201502,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Other,International,G,"3,878"
201502,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Other,International,G,"11,146"
201502,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Other,International,G,"12,314"
201502,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,"1,532"
201502,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,"1,444"
201502,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Thru / Transit,Other,Terminal 1,C,36
201502,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,"127,460"
201502,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,"128,247"
201502,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Deplaned,Other,International,G,"1,039"
201502,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,"8,631"
201502,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,"9,613"
201502,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Deplaned,Low Fare,Terminal 1,B,"114,811"
201502,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Enplaned,Low Fare,Terminal 1,B,"112,533"
201502,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,73
201502,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,International,A,"2,656"
201502,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,International,A,"2,642"
201502,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Deplaned,Low Fare,International,A,926
201502,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Enplaned,Low Fare,International,A,"1,251"
201502,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Other,International,G,"5,402"
201502,Swiss International,LX,Swiss International,LX,International,Europe,Enplaned,Other,International,G,"4,740"
201502,TACA,TA,TACA,TA,International,Central America,Deplaned,Other,International,A,"5,073"
201502,TACA,TA,TACA,TA,International,Central America,Enplaned,Other,International,A,"4,937"
201502,US Airways,US ,US Airways,US ,Domestic,US,Deplaned,Other,Terminal 1,B,"53,065"
201502,US Airways,US ,US Airways,US ,Domestic,US,Enplaned,Other,Terminal 1,B,"53,450"
201502,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,International,G,"21,779"
201502,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,International,G,"21,031"
201502,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,International,G,7
201502,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,E,"183,384"
201502,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,"197,534"
201502,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,97
201502,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,"277,766"
201502,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,"261,011"
201502,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,F,127
201502,United Airlines,UA,United Airlines,UA,International,Asia,Deplaned,Other,International,G,"63,712"
201502,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Other,International,G,"61,924"
201502,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Deplaned,Other,International,G,"5,765"
201502,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Other,International,G,"6,688"
201502,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Other,International,G,695
201502,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,International,G,535
201502,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,E,"5,311"
201502,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,E,"1,155"
201502,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,"4,632"
201502,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,"8,697"
201502,United Airlines,UA,United Airlines,UA,International,Europe,Deplaned,Other,International,G,"16,721"
201502,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Other,International,G,"15,059"
201502,United Airlines,UA,United Airlines,UA,International,Mexico,Deplaned,Other,International,G,"16,615"
201502,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Other,International,G,"11,019"
201502,United Airlines,UA,United Airlines,UA,International,Mexico,Thru / Transit,Other,International,G,9
201502,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Other,Terminal 3,E,159
201502,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Other,Terminal 3,F,"6,434"
201502,Virgin America,VX,Virgin America,VX,Domestic,US,Deplaned,Low Fare,Terminal 2,D,"133,618"
201502,Virgin America,VX,Virgin America,VX,Domestic,US,Enplaned,Low Fare,Terminal 2,D,"134,304"
201502,Virgin America,VX,Virgin America,VX,International,Mexico,Deplaned,Low Fare,International,A,"3,163"
201502,Virgin America,VX,Virgin America,VX,International,Mexico,Enplaned,Low Fare,Terminal 2,D,"3,341"
201502,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,"7,343"
201502,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,"7,045"
201503,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Deplaned,Other,International,G,"3,946"
201503,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Enplaned,Other,International,G,"3,746"
201503,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,International,A,"11,097"
201503,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,"10,516"
201503,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,A,"12,397"
201503,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,A,"12,883"
201503,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,G,"15,152"
201503,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,G,"15,745"
201503,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,"6,576"
201503,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,"7,836"
201503,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,"9,008"
201503,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,"8,935"
201503,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,"10,156"
201503,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,"9,031"
201503,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,International,A,"58,892"
201503,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,International,A,"56,107"
201503,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Other,International,A,"4,714"
201503,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,International,A,"5,115"
201503,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,"7,259"
201503,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,"7,465"
201503,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 2,D,"119,677"
201503,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 2,D,"118,333"
201503,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,"7,555"
201503,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,"7,350"
201503,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,"18,040"
201503,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,"17,304"
201503,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,"16,857"
201503,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,"17,098"
